timestamp,ax,ay,az,gx,gy,gz,p1,p2
5312,4.14,6.73,-5.78,-0.68,0.64,0.19,23,15
5334,4.46,6.11,-5.63,-0.02,0.15,-0.21,24,21
5356,2.95,6.4,-9.37,0.09,0.16,-0.37,20,17
5378,3.08,7.51,-7.3,-0.27,0.68,0.04,21,13
5400,4.7,7.47,-4.96,-0.19,0.73,0.26,19,22
5422,6.01,7.32,-5.06,-0.07,0.45,0.1,21,16
5444,5.43,7.33,-5.0,0.03,0.13,-0.06,18,20
5466,5.23,7.16,-5.36,0.09,-0.01,-0.02,20,21
5488,5.33,6.85,-5.93,0.09,-0.06,-0.05,23,15
5510,4.75,6.67,-6.66,0.04,-0.03,-0.13,22,18
5532,4.65,6.9,-6.74,-0.03,0.08,-0.14,22,14
5554,4.63,7.01,-6.09,-0.14,0.17,-0.09,20,19
5576,4.89,7.13,-5.8,-0.17,0.19,-0.04,20,14
5598,5.11,6.99,-5.59,-0.18,0.11,-0.02,20,18
5625,5.07,7.14,-5.67,-0.19,0.08,-0.02,22,17
5647,4.82,7.33,-5.88,-0.1,0.02,0.03,20,25
5669,5.03,7.17,-6.18,-0.05,0.1,0.06,21,22
5691,4.63,7.17,-5.72,-0.04,0.12,0.07,22,22
5713,5.07,7.3,-5.98,-0.05,0.18,0.05,21,20
5735,4.87,7.01,-5.49,-0.0,0.21,0.03,27,28
5757,5.23,7.01,-5.51,0.1,0.21,-0.01,21,22
5779,5.19,7.11,-5.67,0.1,0.13,-0.13,24,16
5801,5.12,7.19,-5.55,0.08,0.06,-0.18,26,24
5823,5.19,7.3,-5.63,0.02,-0.04,-0.2,25,10
5845,5.3,7.17,-5.65,-0.05,-0.26,-0.41,18,25
5867,4.45,7.25,-6.11,-0.06,-0.28,-0.37,22,19
5889,5.16,7.12,-6.58,-0.13,-0.28,-0.3,22,22
5911,4.55,7.33,-5.89,-0.16,-0.2,-0.15,23,23
5933,4.27,7.14,-5.73,-0.22,-0.22,-0.09,20,28
5955,4.5,7.14,-5.39,-0.19,-0.23,-0.03,22,32
5977,4.59,7.26,-5.45,-0.1,-0.18,0.06,19,26
5999,4.62,7.26,-5.45,-0.11,-0.05,0.19,24,27
6021,4.84,7.06,-5.82,-0.07,0.01,0.18,21,26
6043,4.64,7.36,-5.74,-0.0,0.06,0.11,21,32
6065,4.45,7.53,-5.54,0.05,0.17,0.07,19,20
6087,4.36,7.85,-5.4,0.14,0.32,0.11,25,14
6109,5.65,9.14,-4.58,0.23,0.21,0.13,26,16
6131,5.89,7.99,-2.94,0.69,-0.31,0.17,20,17
6153,6.42,6.71,-4.19,0.72,-0.76,0.17,19,7
6175,4.36,5.09,-8.39,0.42,-0.79,-0.06,20,7
6197,3.33,6.5,-8.49,-0.5,-0.02,0.25,20,11
6219,3.55,6.96,-8.11,-0.8,0.42,0.41,20,9
6241,4.84,6.34,-4.79,-0.53,0.37,0.31,20,11
6263,4.93,6.17,-5.6,-0.01,-0.0,-0.03,21,9
6285,3.57,6.29,-8.51,0.17,-0.02,-0.19,18,10
6307,3.92,7.33,-6.99,-0.16,0.4,0.02,20,19
6329,5.15,7.31,-5.31,-0.13,0.41,0.04,20,15
6351,5.47,7.52,-4.9,-0.02,0.19,-0.06,20,16
6373,4.94,7.41,-5.49,-0.04,0.04,-0.12,22,15
6395,4.66,7.3,-5.83,-0.05,0.05,-0.07,24,19
6417,4.95,6.82,-6.17,-0.08,0.07,-0.04,22,14
6439,5.02,6.62,-6.16,-0.19,0.09,-0.1,25,18
6461,4.51,7.63,-5.1,-0.18,0.16,-0.08,20,22
6483,4.65,7.22,-6.0,-0.03,0.08,0.04,25,18
6505,4.92,6.84,-5.47,0.08,0.16,0.04,21,20
6527,4.82,7.07,-5.64,0.13,0.17,-0.0,22,21
6549,4.86,7.23,-6.06,0.11,0.28,-0.01,20,14
6571,4.56,7.25,-5.92,0.18,0.4,-0.01,20,21
6593,5.27,7.53,-5.67,0.13,0.31,-0.06,21,22
6615,5.47,7.37,-5.33,0.09,0.12,-0.2,23,32
6637,6.18,8.08,-5.63,-0.03,-0.15,-0.42,22,22
6659,5.23,7.48,-5.8,-0.12,-0.38,-0.45,21,13
6681,4.2,7.11,-5.81,-0.16,-0.36,-0.29,23,25
6703,4.77,7.08,-6.03,-0.1,-0.29,-0.14,20,25
6725,4.56,7.32,-5.71,-0.12,-0.21,-0.03,20,29
6747,4.42,7.29,-5.71,-0.08,-0.16,0.08,22,25
6769,4.27,7.13,-6.13,-0.09,-0.01,0.26,20,21
6791,4.79,7.06,-5.29,0.01,0.18,0.32,22,15
6813,4.37,6.6,-5.71,0.14,0.32,0.43,20,9
6835,5.45,6.97,-6.26,0.18,0.36,0.35,22,15
6857,4.59,7.39,-5.9,0.19,0.59,0.39,20,22
6879,4.85,7.32,-5.87,0.17,0.6,0.48,20,26
6901,5.73,6.89,-5.62,0.06,0.28,0.3,22,16
6923,5.44,7.35,-5.42,-0.01,0.05,-0.02,24,15
6945,4.8,7.15,-5.23,0.03,0.0,-0.0,22,18
6967,5.4,7.13,-5.93,0.04,-0.05,-0.0,19,17
6989,6.26,7.21,-6.11,-0.1,-0.32,-0.22,20,23
7011,5.29,6.83,-5.55,-0.17,-0.49,-0.46,23,26
7033,5.06,7.21,-5.54,-0.13,-0.42,-0.39,20,19
7055,4.98,7.53,-5.81,-0.17,-0.41,-0.39,23,23
7077,4.46,7.25,-5.99,-0.21,-0.48,-0.46,20,33
7099,4.16,7.29,-6.05,-0.24,-0.38,-0.37,26,24
7121,5.12,7.35,-6.15,-0.11,-0.17,-0.19,20,27
7143,4.57,7.26,-5.47,-0.12,-0.13,-0.16,22,27
7165,4.6,7.29,-5.46,-0.0,-0.13,-0.06,21,25
7187,4.54,7.61,-6.15,-0.07,-0.2,-0.07,24,30
7209,3.72,7.66,-5.54,-0.21,-0.18,0.15,20,34
7231,4.12,7.61,-6.57,-0.15,-0.1,0.32,19,31
7253,4.22,7.21,-6.0,-0.12,-0.07,0.3,20,26
7275,4.05,7.54,-6.26,-0.01,0.16,0.17,22,24
7297,4.87,7.72,-5.19,0.09,0.37,0.1,22,16
7319,7.41,8.42,-3.5,0.41,0.31,-0.12,20,15
7341,5.34,9.51,-1.16,1.24,-0.53,-0.1,20,10
7363,5.07,6.35,-4.03,1.48,-1.21,0.1,21,14
7385,4.24,5.58,-10.27,0.86,-1.04,-0.01,23,11
7407,2.04,5.6,-10.6,-0.41,0.38,0.25,25,10
7429,3.41,6.09,-7.22,-0.81,0.64,0.45,20,11
